,,,,,,,,,,,,,,,,,,,▼リアルタイムの視聴数も含まれています,,,,▼リアルタイムの視聴数も含まれています,▼リアルタイムの視聴数も含まれています,,
,,,▼関数,,,,告知投稿（▼配信2日後の数値となります。）,,,,,,,,,,リアルタイム視聴,,"アーカイブ視聴
(2日後)","その他アーカイブの数値
（▼配信2日後の数値となります。）",,,"アーカイブ視聴
(1週間後)","アーカイブ視聴
(1か月後)",,
,配信月,日付,曜日,タイトル,媒体,商品,"事前告知
①","事前告知
②","事前告知
③",告知回数,インプレッション,エンゲージメント数,エンゲージメント率,いいね！,リポスト,コメント数,視聴者数,コメント数,再生回数,いいね数,コメント数,インプレッション数,再生回数,再生回数,LIVE遷移先,データ定義
,,,,, 平均値▷,,,,,,73120,295.9,0.43%,105.5,20,0.25,2762.3,88.5,8945.0,111.1,1.8,19954.4,,,,
,2月度,2024-2-22,(木),"3STEPで韓国風キマる
iisamを使えば初挑戦でもいい感じにメイクできるのか！？",・X　　　　 @matsucoco_co,"matsukiyo イイサム マルチパレット
matsukiyo イイサム トーンアップクリーム ",2/20,2/21,2/22,1回目（投稿）,"18,454",89,0.48％,28,7,0,"1,730",7,"3,350",15,5,"14,065",ー,ー,https://business.firework.com/business/gpE6jv/channel/n0qAKVM/video/gkZ670/livestream/g2RQlg?activeTab=overview,
,,,,,,,,,,2回目（投稿）,"14,983",72,0.48％,19,7,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,"1,189",32,2.69％,30,0,0,222,45,"2,597",48,0,ー,ー,ー,,
,,,,,,,,,,2回（ストーリーズ）,"1,563",26,1.66%,26,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,2回（ストーリーズ）,"1,472",17,1.16％,ー,ー,ー,ー,ー,"6,503",80,0,ー,ー,ー,,
,,,,,,,,,,,37661,236,0.63%,103,14,0,1952,52,"12,450",143,5,"14,065",0,0,,
,2月度,2024-2-27,(火),マツキヨココカラ エナジードリンク,・X　　　　 @matsucoco_co,"matsukiyoEXSTRONG ENERGY DRINK
matsukiyoEXSTRONG ZERO ENERGYDRINK
matsukiyoEXSTRONG LOVE &PEACE ENERGY DRINK」
matsukiyoEXSTRONG リラクゼーションドリンク.ZZZZZ...（ズズズ）",2/20,2/26,2/27,1回目（投稿）,"21,170",105,0.50%,28,8,0,"2,030",5,"3,850",19,4,"16,242",ー,ー,https://business.firework.com/business/gpE6jv/channel/n0qAKVM/video/5mZzO0/livestream/gdLdDg?activeTab=overview,
,,,,,,,,,,2回目（投稿）,"15,032",78,0.52%,23,8,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara ,,,,,1回（投稿）,"1,296",23,1.77％,23,0,0,ー,ー,"2,366",36,0,ー,ー,ー,,
,,,,,,,,,,2回（ストーリーズ）,"1,463",21,1.44％,21,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,2回（ストーリーズ）,"1,232",6,0.48％,ー,ー,ー,25,104,"6,898",74,０,ー,ー,ー,,
,,,,,,,,,,,"40,193",233,0.58%,95,16,0,"2,055",109,"13,114",129,4,"16,242",0,0,,
,3月度,2024-3-11,(月),"いつものすっぴん、満足してる？
理想のすっぴんを叶える「nake」最速レビュー",・X　　　　 @matsucoco_co,"nake ポア スムース ベース、nake ハイドレーティング ジェル ベース
nake カバー エイド コンシーラー
nake オイル ブロック パウダー
nake 3in1 アイブロウ、nake ニュアンス オン アイブロウ
nake カラー リップ エンハンサー",3/8,3/11,ー,1回目（投稿）,"50,858",194,0.38%,44,24,0,"2,047",2,"5,903",19,2,"19,393",ー,ー,https://business.firework.com/business/gpE6jv/channel/n0qAKVM/video/g4Jmm6/livestream/vZnBxv?activeTab=overview,
,,,,,,,,,,2回目（引用ポスト）,"31,227",51,0.16%,19,6,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,"1,657",34,2.05%,32,０,0,245,53,"2,033",36,0,ー,ー,ー,,
,,,,,,,,,,2回（ストーリーズ）,942,9,0.95％,ー,ー,ー,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,"84,684",288,0.34%,95,30,0,"2,292",55,"7,936",55,2,"19,393",0,0,,
,4月度,2024-4-1,(月),"新商品『ナレッジ』発売開始！俳優・白洲迅さんと徹底研究
",・X　　　　 @matsucoco_co,"ナレッジ 浸透ローション
ナレッジ 浸透ミルク
ナレッジ フェイシャルウォッシュ
ナレッジ クレンジングバーム
ナレッジ UVエッセンス",3/25,3/31,4/1,1回目（投稿）,"70,271",528,0.75%,82,52,1,"3,254",8,"8,160",72,2,"24,383",ー,ー,https://business.firework.com/business/gpE6jv/channel/n0qAKVM/video/gdj1er/livestream/gOXDyv?activeTab=overview,
,,,,,,,,,,2回目（投稿）,"36,649",65,0.18%,35,14,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,"3,322",219,6.59％,193,０,1,725,801,"6,137",249,7,ー,ー,ー,,
,,,,,,,,,,2回（ストーリーズ）,"1,494",38,2.54％,ー,ー,ー,,,,,,,,,,
,,,,,・ブランドサイト,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"111,736",850,0.76%,310,66,2,"3,979",809,"14,297",321,9,"24,383",0,0,,
,5月度,2024-5-8,(水),"その歯みがき粉でいい？
ドラッグストアで売ってるオーラルケア　ブランド比較",・X　　　　 @matsucoco_co,"NONIOプラス ホワイトニング  マウスウォッシュ 
OCH-TUNE マウスウォッシュ SLOW 
シュミテクト やさしくホワイトニングEX 
サンギ アパガードセレナ 105g
NONIOプラス ホワイトニング ハミガキ
OCH-TUNE ハミガキ FAST 
OCH-TUNE ハミガキ SLOW 
サンギ アパガードプレミオ 
オーラツーミー ステインクリア ペースト",5/８,5/８,5/８,1回目（投稿）,"46,600",111,0.24%,22,6,0,"2,169",14,"4,739",29,2,"23,731",ー,"5,488",https://cp.lp.matsukiyococokara-online.com/mc/snippet/mccm/test-live-202402,
,,,,,,,,,,2回目（投稿）,"31,579",41,0.13%,13,１,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（ストーリーズ）,581,11,1.89%,10,0,ー,255,26,"3,344",52,0,ー,ー,"4,578",,
,,,,,,,,,,2回（ストーリーズ）,528,9,1.70%,9,0,ー,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"79,288",172,0.22%,54,6,0,"2,424",40,"8,083",81,2,"23,731",0,"10,066",,
,5月度,2024-5-14,(火),"マツココユーザーは何を選んでる？
４ブランドベビーおむつ徹底比較
",・X　　　　 @matsucoco_co,"花王 メリーズ エアスルー テープ Ｓサイズ ６２枚
花王 メリーズファーストプレミアムＳサイズ ６０枚
ユニ・チャーム 【テープ Ｓサイズ】ムーニー オムツ70枚
ユニ・チャーム ナチュラルム－ニ－ Ｓ ５８枚
パンパース さらさらケアテープ スーパージャンボS62枚
大王製紙 グーンプラス 敏感肌設計 Ｓサイズ ７０枚
matsukiyo 赤ちゃんのおしりふき ９０枚８Ｐ",5/13,5/14,,1回目（投稿）,"46,106",102,0.22%,24,5,0,"1,873",0,"4,989",29,0,"22,549",ー,"5,395",https://cp.lp.matsukiyococokara-online.com/mc/snippet/mccm/test-live-202402,
,,,,,,,,,,2回目（投稿）,"30,593",48,0.16%,22,3,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（ストーリーズ）,539,11,2.04%,10,0,0,179,20,"2,810",28,0,ー,ー,"3,620",,
,,,,,,,,,,2回（ストーリーズ）,587,10,1.70%,9,0,0,,,,,,,,,,
,,,,,,,,,,3回（ストーリーズ）,709,12,1.69%,11,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"78,534",183,0.23%,76,8,0,"2,052",20,"7,799",57,0,"22,549",0,"9,015",,
,5月度,2024-5-23,(木),"【今季最注目】絶対に使ってほしい！
２０２４今年発売のUVケア特集
",・X　　　　 @matsucoco_co,サンケア,5/16,5/22,5/23,1回目（投稿）,"54,941",154,0.28%,25,8,0,"2,755",0,"4,951",25,0,"20,957",ー,"5,282",https://cp.lp.matsukiyococokara-online.com/mc/snippet/mccm/test-live-202402,
,,,,,,,,,,2回目（投稿）,"32,311",49,0.15%,19,4,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,714,9,1.26%,9,0,0,246,69,"3,054",54,0,ー,ー,"2,320",,
,,,,,,,,,,2回（ストーリーズ）,551,9,1.63%,0,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"88,517",221,0.25%,53,12,0,"3,001",69,"8,005",79,0,"20,957",0,"7,602",,
,5月度,2024-5-31,(金),"初めてでもよくわかる！
自分にあったプロテインの選び方
",・X　　　　 @matsucoco_co,プロテイン,5/24,5/30,5/31,1回目（投稿）,"39,555",102,0.26%,20,4,0,"2,466",0,"4,391",22,0,"18,534","4,671","4,807",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,"23,629",59,0.25%,16,4,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,593,12,2.02%,11,0,0,226,27,"2,517",33,0,ー,"2,916","3,233",,
,,,,,,,,,,2回（ストーリーズ）,569,11,1.93%,11,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"64,346",184,0.29%,58,8,0,"2,692",27,"6,908",55,0,"18,534","7,587","8,040",,
,6月度,2024-6-5,(水),"【花王の本気】サロン級ヘアケア
”休息美容”melt徹底解剖
",・X　　　　 @matsucoco_co,melt,5/29,6/4,6/5,1回目（投稿）,"51,564",179,0.35%,25,11,1,"2,479",0,"8,920",76,2,"21,053","9,662","15,931",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,"30,708",98,0.32%,24,4,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,"1,092",19,1.74%,19,0,0,187,27,"2,560",43,0,ー,"3,223","3,742",,
,,,,,,,,,,2回（ストーリーズ）,595,12,2.02%,12,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"83,959",308,0.37%,80,15,1,"2,666",27,"11,480",119,2,"21,053","12,885","19,673",,
,6月度,2024-6-11,(火),"汚れも臭いもサッパリ解決！
ジメジメ梅雨に負けない洗濯のコツ",・X　　　　 @matsucoco_co,洗濯洗剤,6/4,6/10,6/11,1回目（投稿）,"58,426",145,0.25%,41,10,0,"2,198",15,"5,135",40,2,"27, 332","5,541","5,726",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,"34,548",63,0.18%,27,5,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,756,9,1.19%,9,0,0,182,7,"1,484",27,0,ー,"2,273","2,363",,
,,,,,,,,,,2回（ストーリーズ）,689,10,1.45%,10,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"94,419",227,0.24%,87,15,0,"2,380",22,"6,619",67,2,"27, 332","7,814","8,089",,
,6月度,2024-6-18,(火),厳選！肌悩み別ボディーソープ6選,・X　　　　 @matsucoco_co,ボディソープ,6/11,6/17,6/18,1回目（投稿）,"56,971",151,0.27%,30,7,1,"3,513",2,"6,502",50,2,"22,916","7,080","7,302",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,"32,731",51,0.16%,16,3,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,568,-,-,12,0,0,200,12,"2,583",53,1,ー,"3,530","3,925",,
,,,,,,,,,,2回（ストーリーズ）,900,-,-,14,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"91,170",202,0.22%,72,10,1,"3,713",14,"9,085",103,3,"22,916","10,610","11,227",,
,6月度,2024-6-25,(火),ゴキブリゼロの夏へ！おすすめ商品10選,・X　　　　 @matsucoco_co,殺虫剤,6/18,6/24,6/25,1回目（投稿）,"52,298",255,0.49%,37,13,0,"3,021",4,"5,397",32,0,"19,799","5,761","6,113",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,"30,717",88,0.29%,41,9,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,805,-,-,14,0,0,181,39,"2,087",36,0,ー,"2,496","2,643",,
,,,,,,,,,,2回（ストーリーズ）,893,-,-,8,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"84,713",343,0.40%,100,22,0,"3,202",43,"7,484",68,0,"19,799","8,257","8,756",,
,7月度,2024-7-2,(火),この夏使いたい！汗拭きシート12種全部使ってみた,・X　　　　 @matsucoco_co,シーズン,7/2,,,1回目（投稿）,"17,997",97,0.54%,19,4,0,"2,772",4,"5,133",36,0,"19,098","5,650","5,813",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,-,-,-,-,-,-,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,838,-,-,12,0,0,228,44,"1,760",40,0,ー,"2,538","2,758",,
,,,,,,,,,,2回（ストーリーズ）,-,-,-,-,-,-,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"18,835",97,0.51%,31,4,0,"3,000",48,"6,893",76,0,"19,098","8,188","8,571",,
,7月度,2024-7-9,(火),爽快！ドライシャンプーおすすめ10選！,・X　　　　 @matsucoco_co,アウトバス,7/6,7/9,,1回目（投稿）,"53,913",230,0.43%,40,10,0,"3,214",4,"7,250",36,0,"19,569","7,634","8,086",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,"31,092",65,0.21%,20,2,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,829,-,-,10,0,0,222,30,"2,354",56,0,ー,"2,679","2,998",,
,,,,,,,,,,2回（ストーリーズ）,686,-,-,13,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"86,520",295,0.34%,83,12,0,"3,436",34,"9,604",92,0,"19,569","10,313","11,084",,
,7月度,2024-7-16,(火),保存版！夏におすすめVCマスク10選！！,・X　　　　 @matsucoco_co,洗顔基礎,7/13,7/16,,1回目（投稿）,"57,487",191,0.33%,40,12,0,"2,646",２,"5,314",29,1,"19,990","5,588","5,777",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,"35,600",83,0.23%,34,5,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,472,-,-,13,0,0,201,42,"2,025",41,0,ー,"2,604","2,888",,
,,,,,,,,,,2回（ストーリーズ）,620,-,-,13,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"94,179",274,0.29%,100,17,0,"2,847",42,"7,339",70,1,"19,990","8,192","8,665",,
,7月度,2024-7-30,(火),"“上質なもの”に投資をしたい人必見！
メンズスキンケア『KNOWLEDGE』を解説
",・X　　　　 @matsucoco_co,ナレッジ,7/29,7/30,,1回目（投稿）,"21,716",123,0.57%,25,11,1,"2,201",0,"6,573",33,1,"19,000","7,193","6,005",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,"・PUSH配信 ⇒ 同時間に別配信はなし。
・前回のVCマスクよりも50万ほどPUSH配信数が増えているらしく、
　その超過分で10分影響。8/5（月）は18:40⇒18:30で配信。
・旧アプリ終了日。"
,,,,,,,,,,2回目（投稿）,"18,739",147,0.78%,25,7,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,741,-,-,10,0,0,171,15,"1,874",36,0,ー,"2,461","2,684",,
,,,,,,,,,,2回（ストーリーズ）,608,-,-,7,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"41,804",270,0.65%,67,18,1,"2,372",15,"8,447",69,1,"19,000","9,654","8,689",,
,8月度,2024-8-5,(月),夏！崩れにくいメイク情報,・X　　　　 @matsucoco_co,"ＭＪ　ポアレスフリーザー
ＭＱ　ＤスキンセンサーＢ　ＮＢ
ＭＱ　ＤスキンセンサーＢ　ＬＡ
ＭＱ　ＤスキンセンサーベースＮＥＯ　ＭＩ
Ｓ　ＦＤブラシ　１３１
ＭＱＤエツセンスリキツドＯＣ２０
ＭＱＤエツセンスリキツドＯＣ１０
ＭＱＤエツセンスリキツドＢＰ００
ＭＱＤエツセンスリキツドＯＣ３０
ＭＱＤエツセンスリキツドＳＢ１０
インテグレートスッピンメイカートーンアップＰＷＵＶ
ＭＪ　モイストカクテルフイクサー　ＥＸ
ＩＥ　フワマユマスカラ　ＢＲ６７２
ＩＥ　フワマユマスカラ　ＢＲ７７０
ＩＥ　フワマユマスカラ　ＢＲ７７３
ＩＥ　フワマユマスカラ　ＢＲ３７１
ＩＥ　フワマユマスカラ　ＰＫ３７４
ＩＥ　フワマユマスカラ　クリアカラー
ザ・レチノタイム ホワイト クリアローション
ザ・レチノタイム ホワイト ホワイトニングローション
",8/2,8/5,,1回目（投稿）,"48,341",169,0.35%,26,9,0,"2,700",0,"7,290",42,0,"18,209","7,991","8,445",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,"28,219",60,0.21%,20,2,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,"1,276",-,-,14,0,0,236,136,"3,116",53,0,ー,"3,840","4,109",,
,,,,,,,,,,2回（ストーリーズ）,728,-,-,16,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"78,564",229,0.29%,76,11,0,"2,936",136,"10,406",95,0,"18,209","11,831","12,554",,
,8月度,2024-8-12,(月),夏の晩酌に最高！お酒にあう至福のおつまみ特集,・X　　　　 @matsucoco_co,"matsukiyo LAB プロテインチキンバー　ブラックペッパー味 ５０ｇ
matsukiyo LAB プロテインチキンバー　塩こうじ味 ５０ｇ
亀田製菓 亀田の柿の種　６袋 １８０ｇ
亀田製菓 減塩亀田の柿の種6袋 １６４ｇ
カルビー じゃがりこサラダ ５７ｇ
カルビー じゃがりこ たらこバター ５２ｇ
カルビー じゃがりこチーズ ５５ｇ
カルビー じゃがりこじゃがバター ５５ｇ
なとり おつまみ牛たん ３８ｇ
なとり 一度は食べていただきたい 贅沢なチーズ鱈 ６４ｇ
なとり 一度は食べていただきたい おいしいサラミ ４６ｇ
ヤガイ 極細ビーフジャーキー ２８ｇ
江崎グリコ クラッツ（枝豆） ４２ｇ
江崎グリコ クラッツ（ペッパーベーコン） ４２ｇ
",8/12,,,1回目（投稿）,"20,634",89,0.43%,24,2,0,"2,228",1,"5,293",29,0,"20,465","5,779","6,024",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,"・LPのコメント数が過去最高の数値。
・クーポンの紹介もしたことで、視聴者の反応は良かった。
　クーポン利用量確認中。
・資生堂回との視聴数の違い確認中。
　⇒Firework分析サマリで数値異常発生のため、数値が低く出ていた。
　　正しい数値は石島様から記載いただいています。"
,,,,,,,,,,2回目（投稿）,-,-,-,-,-,-,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,911,-,-,112,0,0,178,50,"1,684",39,0,ー,"2,360","2,619",,
,,,,,,,,,,2回（ストーリーズ）,-,-,-,-,-,-,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"21,545",89,0.41%,136,2,0,"2,406",51,"6,977",68,0,"20,465","8,139","8,643",,
,8月度,2024-8-19,(月),必見！自分に合った生理用品の選び方,・X　　　　 @matsucoco_co,生理用品,8/19,,,1回目（投稿）,"15,448",74,0.48%,16,3,0,"2,875",22,"5,370",31,3,"19,227","5,905","6,295",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,クーポン利用状況は、まだ効果がみえていない。
,,,,,,,,,,2回目（投稿）,-,-,-,-,-,-,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,890,-,-,14,0,0,204,47,"1,659",333,0,ー,"2,349","2,638",,
,,,,,,,,,,2回（ストーリーズ）,-,-,-,-,-,-,,,,,,,,,,
